Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.36222674392262616,1.5926282115602395,-0.4030869480914892,1,VIP Tokens
BSD,X11,PoW/PoS,24387724.5,139000000.0,-0.38123854042264294,1.3126348135150592,-0.43665321300071563,1,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.16624370977312966,-1.146898112580243,-0.07386448842678457,0,Omni
LIR,POS 3.0,PoS,38589808.67,33500000.0,-0.38137307176400626,1.2430582471209821,-0.18030239865697106,1,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.6,2000000000.0,-0.3095464564329024,1.0590992911368962,-0.5524713758529136,1,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3333210463399293,1.0594293960887666,-0.5522571877002623,1,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3317581621688336,1.059459372554796,-0.5522780295603082,1,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.2497172851242041,1.5821333785216576,-0.32078702343835913,1,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.21489382874513266,-0.8936754205198598,0.04174515727850877,0,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.33920146472060214,0.989145155580293,-0.2219609741397265,1,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.25506306471282614,-1.0640233855391534,0.6094670037582696,0,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.38197838669536477,1.3126650362396395,-0.4366491580102992,1,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.332524244497559,1.059432424200925,-0.552266209990873,1,CarterCoin
KRB,CryptoNight,PoW,7822432.724,10000000.0,0.3043076176347772,-2.3509078955272193,0.4137530576334183,0,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.31651090536140525,0.9037839155584558,-0.26240759360893207,1,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14908624511396226,-1.3025511680355373,0.21598233672295197,0,ZayedCoin
MST,X11,PoW/PoS,657636.3455,3000000.0,-0.3824944048208387,1.3126754288084859,-0.43664493147837624,1,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.33351050051448883,1.0594375201660204,-0.5522561996880615,1,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10213245356923144,-1.8572120926578783,0.2697901860660062,0,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.33366746055955626,1.0594454338157526,-0.5522555359198551,1,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.16340655225445797,-1.1469134042069036,-0.07389320230655581,0,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.30099469252499556,0.7359069374993904,-0.3374555299748008,1,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.1490448258889162,-1.3025499674118173,0.21598173122796335,0,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.27284073544734755,0.2854413340436095,-0.5043470542276964,1,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.16590662876151357,-1.1469039666559866,-0.07386737164707158,0,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.0432321791418996,1.9914148093195265,-0.5814129668284421,1,BuzzCoin
XPO,PoS,PoS,74033806.79,74000000.0,-0.3753648848721014,1.3905765864762034,-0.27430591658226655,1,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3332812036200721,1.0594625955170396,-0.5522619630123404,1,PesoBit
HALLO,X11,PoW/PoS,264678458.3,1500000000.0,-0.3686362305686121,1.3122298917610362,-0.436736662039188,1,Halloween Coin
XZC,Lyra2Z,PoW,7568281.25,21400000.0,-0.14916861608581428,-2.2358668123662575,0.4252746604723456,0,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.3746929339131368,1.390630545446479,-0.27432025130182236,1,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.2511501777163469,1.582209727357035,-0.32078150098682073,1,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.39847535368463805,1.827956628050468,-0.44750325547535247,1,GanjaCoin V2
TEAM,PoS,PoS,17818682.17,301000000.0,-0.37444060795285833,1.3904567259513139,-0.2743002395362884,1,TeamUP
LANA,SHA-256D,PoW/PoS,1082162636.0,7506000000.0,-0.2716788254775372,1.986280423067189,-0.5773319707674165,1,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.1519694814837038,-2.0655671000329123,0.3675144995958701,0,Elementrem
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.14667606036641861,-1.974140966907727,0.389673001828067,0,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.690024078483726,1.666140830716936,0.0075049329592228875,1,ARK
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.38208640772897096,1.3126744153593684,-0.43664921579916516,1,InsaneCoin
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.0928513667080069,-1.150726085558504,-0.07415815357503458,0,KiloCoin
ATX,X11,PoW,824000000.0,500000000.0,-0.20146059530416685,-0.8934153126019844,0.04156569694609651,0,ArtexCoin
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.851721071701628,1.955600525171836,-0.5543976898874284,1,EmberCoin
XEN,X11,PoW/PoS,3853326.777,3853326.777,-0.3824492630059141,1.3126768295469373,-0.43664560345767334,1,XenixCoin
FRE,PoS,PoS,50000000.0,50000000.0,-0.37582922384214473,1.3905729698241651,-0.27430041648567616,1,FreeCoin
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.3332085337850512,1.0594385021722368,-0.5522595972327784,1,PLNCoin
ARCO,Scrypt,PoW/PoS,2449577.415,42000000.0,-0.33336301218371617,1.0594291856805318,-0.55225670585241,1,AquariusCoin
KURT,X11,PoW,61364813.0,228000000.0,-0.21271882430836367,-0.8937226959364104,0.04172779670484092,0,Kurrent
XCRE,PoS,PoS,20000000.0,20000000.0,-0.3764091307387254,1.3905684719716571,-0.27429354996445593,1,Creatio
ENT,X11,PoW/PoS,6069482.077,60000000.0,-0.3820234983395397,1.3126559426037727,-0.4366474797803307,1,Eternity
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.31637343484909464,0.9037907324110186,-0.26240997379871994,1,Eurocoin
BCF,Scrypt,PoW/PoS,20244023.64,33000000.0,-0.33320929155374024,1.0594423959705457,-0.5522600985133765,1,BitcoinFast
XSN,X11,TPoS,75590369.0,76500000.0,-0.32724290853319105,0.810730524361024,-0.40016026763952195,1,Stakenet
BCCOIN,Scrypt,PoW/PoS,11080722.38,28000000.0,-0.3333568593526497,1.0594393840614584,-0.5522581068695201,1,BitConnect Coin
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.3289377867710052,1.0591943053482484,-0.5522738798688457,1,MoneyCoin
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.3824782835948716,1.312674727229337,-0.43664501420661905,1,Enigma
XCI,CryptoNight,PoW,978145.0,21000000.0,0.3043020167745585,-2.3509159425966915,0.4137541711865766,0,Cannabis Industry Coin
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.33256627356712326,1.0593922746509912,-0.5522605016208567,1,Russiacoin
PND,Scrypt,PoS,33813143822.0,32514916898.0,0.34132910774157327,0.7413951249172884,-0.3451273491862763,1,PandaCoin
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.3335564063856117,1.0594411519637343,-0.5522561779194697,1,GameUnits
